section,width,length,area
1,1.57,10.18,15.9826
2,2.14,7.64,16.3496
3,1.57,10.18,15.9826
4,1.57,14.56,22.8592
5,2.14,12.14,25.9796
6,1.57,16.18,25.4026
7,1.57,12.06,18.9342
8,2.14,10.85,23.219
9,1.57,12.06,18.9342
10,1.57,8.89,13.9573
11,2.14,7.64,16.3496
12,1.57,8.89,13.9573
13,1.07,14.62,15.6434
14,2.14,15.62,33.8954
15,1.07,14.62,15.6434
16,1.07,19.36,20.7152
17,2.14,17.42,37.2788
18,1.07,19.36,20.7152
19,1.07,8.89,9.5123
20,2.14,8.89,19.0246
21,1.07,8.89,9.5123
22,1.07,4.44,4.7508
23,2.14,4.44,9.5016
24,1.07,4.44,4.7508
