flights,total_duration,price,type,airline_logo,booking_token,carbon_emissions.this_flight,carbon_emissions.typical_for_this_route,carbon_emissions.difference_percent
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-03-15 01:10'}, 'arrival_airport': {'name': 'Heathrow Airport', 'id': 'LHR', 'time': '2024-03-15 07:20'}, 'duration': 850, 'airplane': 'Boeing 777', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 306', 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 978 kg'], 'overnight': True, 'often_delayed_by_over_30_min': True}]",850,2025,One way,https://www.gstatic.com/flights/airline_logos/70px/SQ.png,WyJDalJJYVVsVFNWSlVPVTFrY25kQlJIWlJTMmRDUnkwdExTMHRMUzB0TFc5MWRHY3hNRUZCUVVGQlIxaHlZVVkwU1ZWU2NrbEJFZ1ZUVVRNd05ob0xDTW10REJBQ0dnTkRRVVE0SEhDZWxBaz0iLFtbIlNJTiIsIjIwMjQtMDMtMTUiLCJMSFIiLG51bGwsIlNRIiwiMzA2Il1dXQ==,979000,765000,28
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-03-15 09:00'}, 'arrival_airport': {'name': 'Heathrow Airport', 'id': 'LHR', 'time': '2024-03-15 15:20'}, 'duration': 860, 'airplane': 'Airbus A380', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 308', 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 897 kg'], 'often_delayed_by_over_30_min': True}]",860,2025,One way,https://www.gstatic.com/flights/airline_logos/70px/SQ.png,WyJDalJJYVVsVFNWSlVPVTFrY25kQlJIWlJTMmRDUnkwdExTMHRMUzB0TFc5MWRHY3hNRUZCUVVGQlIxaHlZVVkwU1ZWU2NrbEJFZ1ZUVVRNd09Cb0xDTW10REJBQ0dnTkRRVVE0SEhDZWxBaz0iLFtbIlNJTiIsIjIwMjQtMDMtMTUiLCJMSFIiLG51bGwsIlNRIiwiMzA4Il1dXQ==,897000,765000,17
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-03-15 12:45'}, 'arrival_airport': {'name': 'Heathrow Airport', 'id': 'LHR', 'time': '2024-03-15 19:10'}, 'duration': 865, 'airplane': 'Boeing 777', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 318', 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 978 kg']}]",865,2025,One way,https://www.gstatic.com/flights/airline_logos/70px/SQ.png,WyJDalJJYVVsVFNWSlVPVTFrY25kQlJIWlJTMmRDUnkwdExTMHRMUzB0TFc5MWRHY3hNRUZCUVVGQlIxaHlZVVkwU1ZWU2NrbEJFZ1ZUVVRNeE9Cb0xDTW10REJBQ0dnTkRRVVE0SEhDZWxBaz0iLFtbIlNJTiIsIjIwMjQtMDMtMTUiLCJMSFIiLG51bGwsIlNRIiwiMzE4Il1dXQ==,979000,765000,28
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-03-15 23:45'}, 'arrival_airport': {'name': 'Heathrow Airport', 'id': 'LHR', 'time': '2024-03-16 05:55'}, 'duration': 850, 'airplane': 'Airbus A380', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 322', 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 897 kg'], 'overnight': True, 'often_delayed_by_over_30_min': True}]",850,2025,One way,https://www.gstatic.com/flights/airline_logos/70px/SQ.png,WyJDalJJYVVsVFNWSlVPVTFrY25kQlJIWlJTMmRDUnkwdExTMHRMUzB0TFc5MWRHY3hNRUZCUVVGQlIxaHlZVVkwU1ZWU2NrbEJFZ1ZUVVRNeU1ob0xDTW10REJBQ0dnTkRRVVE0SEhDZWxBaz0iLFtbIlNJTiIsIjIwMjQtMDMtMTUiLCJMSFIiLG51bGwsIlNRIiwiMzIyIl1dXQ==,897000,765000,17
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-03-15 09:00'}, 'arrival_airport': {'name': 'Heathrow Airport', 'id': 'LHR', 'time': '2024-03-15 15:20'}, 'duration': 860, 'airplane': 'Airbus A380', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Premium Economy', 'flight_number': 'SQ 308', 'extensions': ['Extra reclining seat', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 1345 kg'], 'often_delayed_by_over_30_min': True}]",860,3710,One way,https://www.gstatic.com/flights/airline_logos/70px/SQ.png,WyJDalJJTVhoSFluaGFiWFpRUW10QlJXdDRkR2RDUnkwdExTMHRMUzB0TFhaMGQyRXpOMEZCUVVGQlIxaHlZVWhSUlZoSGVYZEJFZ1ZUVVRNd09Cb0xDUHpSRmhBQ0dnTkRRVVE0SEhEMzR4QT0iLFtbIlNJTiIsIjIwMjQtMDMtMTUiLCJMSFIiLG51bGwsIlNRIiwiMzA4Il1dXQ==,1346000,1004000,34
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-03-15 12:45'}, 'arrival_airport': {'name': 'Heathrow Airport', 'id': 'LHR', 'time': '2024-03-15 19:10'}, 'duration': 865, 'airplane': 'Boeing 777', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Premium Economy', 'flight_number': 'SQ 318', 'extensions': ['Extra reclining seat', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 1468 kg']}]",865,3710,One way,https://www.gstatic.com/flights/airline_logos/70px/SQ.png,WyJDalJJTVhoSFluaGFiWFpRUW10QlJXdDRkR2RDUnkwdExTMHRMUzB0TFhaMGQyRXpOMEZCUVVGQlIxaHlZVWhSUlZoSGVYZEJFZ1ZUVVRNeE9Cb0xDUHpSRmhBQ0dnTkRRVVE0SEhEMzR4QT0iLFtbIlNJTiIsIjIwMjQtMDMtMTUiLCJMSFIiLG51bGwsIlNRIiwiMzE4Il1dXQ==,1468000,1004000,46
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-03-15 23:45'}, 'arrival_airport': {'name': 'Heathrow Airport', 'id': 'LHR', 'time': '2024-03-16 05:55'}, 'duration': 850, 'airplane': 'Airbus A380', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Premium Economy', 'flight_number': 'SQ 322', 'extensions': ['Extra reclining seat', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 1345 kg'], 'overnight': True, 'often_delayed_by_over_30_min': True}]",850,3710,One way,https://www.gstatic.com/flights/airline_logos/70px/SQ.png,WyJDalJJTVhoSFluaGFiWFpRUW10QlJXdDRkR2RDUnkwdExTMHRMUzB0TFhaMGQyRXpOMEZCUVVGQlIxaHlZVWhSUlZoSGVYZEJFZ1ZUVVRNeU1ob0xDUHpSRmhBQ0dnTkRRVVE0SEhEMzR4QT0iLFtbIlNJTiIsIjIwMjQtMDMtMTUiLCJMSFIiLG51bGwsIlNRIiwiMzIyIl1dXQ==,1346000,1004000,34
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-03-15 01:10'}, 'arrival_airport': {'name': 'Heathrow Airport', 'id': 'LHR', 'time': '2024-03-15 07:20'}, 'duration': 850, 'airplane': 'Boeing 777', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Business Class', 'flight_number': 'SQ 306', 'extensions': ['Lie flat seat', 'Free Wi-Fi', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 3915 kg'], 'overnight': True, 'often_delayed_by_over_30_min': True}]",850,9499,One way,https://www.gstatic.com/flights/airline_logos/70px/SQ.png,WyJDalJJZEZOUVUxOTBTRlEzVFVsQlJVeFdPVUZDUnkwdExTMHRMUzB0TFc5MWJHY3hOVUZCUVVGQlIxaHlZVWh2VFhWSldITkJFZ1ZUVVRNd05ob0xDSVQ5T1JBQ0dnTkRRVVE0SEhDdS9Dbz0iLFtbIlNJTiIsIjIwMjQtMDMtMTUiLCJMSFIiLG51bGwsIlNRIiwiMzA2Il1dXQ==,3916000,2689000,46
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-03-15 09:00'}, 'arrival_airport': {'name': 'Heathrow Airport', 'id': 'LHR', 'time': '2024-03-15 15:20'}, 'duration': 860, 'airplane': 'Airbus A380', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Business Class', 'flight_number': 'SQ 308', 'extensions': ['Lie flat seat', 'Free Wi-Fi', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 3588 kg'], 'often_delayed_by_over_30_min': True}]",860,9499,One way,https://www.gstatic.com/flights/airline_logos/70px/SQ.png,WyJDalJJZEZOUVUxOTBTRlEzVFVsQlJVeFdPVUZDUnkwdExTMHRMUzB0TFc5MWJHY3hOVUZCUVVGQlIxaHlZVWh2VFhWSldITkJFZ1ZUVVRNd09Cb0xDSVQ5T1JBQ0dnTkRRVVE0SEhDdS9Dbz0iLFtbIlNJTiIsIjIwMjQtMDMtMTUiLCJMSFIiLG51bGwsIlNRIiwiMzA4Il1dXQ==,3589000,2689000,33
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-03-15 12:45'}, 'arrival_airport': {'name': 'Heathrow Airport', 'id': 'LHR', 'time': '2024-03-15 19:10'}, 'duration': 865, 'airplane': 'Boeing 777', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Business Class', 'flight_number': 'SQ 318', 'extensions': ['Lie flat seat', 'Free Wi-Fi', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 3915 kg']}]",865,9499,One way,https://www.gstatic.com/flights/airline_logos/70px/SQ.png,WyJDalJJZEZOUVUxOTBTRlEzVFVsQlJVeFdPVUZDUnkwdExTMHRMUzB0TFc5MWJHY3hOVUZCUVVGQlIxaHlZVWh2VFhWSldITkJFZ1ZUVVRNeE9Cb0xDSVQ5T1JBQ0dnTkRRVVE0SEhDdS9Dbz0iLFtbIlNJTiIsIjIwMjQtMDMtMTUiLCJMSFIiLG51bGwsIlNRIiwiMzE4Il1dXQ==,3916000,2689000,46
